Nombre,URL,Puntuacion,Comentarios,Municipio,Descripcion,Alrededores
HOSTAL RANCHO JOTA Murillo Tolima,https://www.booking.com/hotel/co/hostal-rancho-jota-murillo-tolima.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"8,6",55 comentarios,Murillo,"HOSTAL RANCHO JOTA Murillo Tolima se encuentra en Murillo. El hostal o pensión libre de humo cuenta con wifi gratis en todo el alojamiento.

Cada habitación está equipada con baño privado, y algunas también ofrecen cocina con nevera.

El aeropuerto (Aeropuerto de La Nubia) está a 77 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 650 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 22 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Refugio Paramo Trek Murillo,https://www.booking.com/hotel/co/refugio-paramo-trek-murillo.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,0",29 comentarios,Murillo,"Refugio Paramo Trek Murillo está en Murillo y ofrece vistas a la montaña, jardín, terraza y restaurante.

Las unidades cuentan con patio con vistas al jardín.

Se puede practicar ciclismo en los alrededores.

El aeropuerto (Aeropuerto de La Nubia) está a 76 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 550 m; RestaurantePanadería Murillo - 23 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Hostal familiar aventura andina,https://www.booking.com/hotel/co/hostal-familiar-aventura-andina.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,8",26 comentarios,Murillo,"Hostal familiar aventura andina se encuentra en Murillo. Esta habitación en casa particular ofrece mostrador de información turística y wifi gratis.

La habitación en casa particular cuenta con TV de pantalla plana.

El aeropuerto (Aeropuerto de La Nubia) está a 77 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 100 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Hostal y Restaurante Los Ocobos,https://www.booking.com/hotel/co/los-ocobos-suites.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,0",6 comentarios,Murillo,"Hostal y Restaurante Los Ocobos se encuentra en Murillo y dispone de salón de uso común, terraza, bar y wifi gratis en todo el alojamiento. El alojamiento cuenta con restaurante y también tiene jardín, sauna y bañera de hidromasaje. El alojamiento ofrece personal de animación y servicio de habitaciones.

En el hostal o pensión se puede disfrutar de un desayuno americano.

La clientela puede practicar actividades en Murillo y alrededores, como ciclismo.

El aeropuerto (Aeropuerto de La Nubia) está a 84 km.",Restaurantes y cafeterías: RestaurantePanadería Murillo - 9 km; Cafetería/barCafetería y miscelánea - 9 km; Cafetería/barMeridiano Café - 9 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 83 km
Villa Lore Glamping,https://www.booking.com/hotel/co/villa-lore-glamping-murillo.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"8,6",42 comentarios,Murillo,"Villa Lore Glamping ofrece alojamiento en Murillo y cuenta con salón de uso común.

En el camping se sirve un desayuno americano.

Villa Lore Glamping ofrece terraza.

En el alojamiento, la clientela puede practicar senderismo en los alrededores o disfrutar del jardín.

El aeropuerto (Aeropuerto de La Nubia) está a 79 km.","Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 4,3 km; RestaurantePanadería Murillo - 27 km; Cafetería/barCafetería y miscelánea - 27 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 72 km"
Donde Sara Tourist House,https://www.booking.com/hotel/co/donde-sara-tourist-house-murillo.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"9,0",4 comentarios,Murillo,"Donde Sara Tourist House se encuentra en Murillo y ofrece jardín, wifi gratis, salón de uso común y mostrador de información turística.

La casa o chalet de 1 dormitorio cuenta con sala de estar con TV de pantalla plana y cocina totalmente equipada.

El aeropuerto (Aeropuerto de La Nubia) está a 71 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 550 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 22 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Los Frailejones,https://www.booking.com/hotel/co/los-frailejones.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,,,Murillo,"Los Frailejones está en Murillo y ofrece alojamiento de 3 estrellas con jardín. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel tiene habitaciones familiares.

Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también tienen vistas a la montaña. En el hotel, todas las habitaciones incluyen ropa de cama y toallas.

En Los Frailejones se sirve un desayuno a la carta.

El aeropuerto (Aeropuerto de La Nubia) está a 70 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 350 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Los frailejones,https://www.booking.com/hotel/co/los-frailejones-murillo.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,,,Murillo,"Los frailejones se encuentra en Murillo, en la región de Tolima, y ofrece alojamiento con wifi gratis y parking privado gratis.

Todas las unidades tienen baño privado totalmente equipado con ducha y artículos de aseo gratuitos.

En el camping se puede disfrutar de un desayuno a la carta.

También hay un jardín ideal para relajarse.

El aeropuerto (Aeropuerto de La Nubia) está a 70 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 450 m; RestaurantePanadería Murillo - 23 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Hostal Perla Del Norte,https://www.booking.com/hotel/co/hostal-perla-del-norte.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"8,9",49 comentarios,Murillo,"Hostal Perla Del Norte ofrece alojamiento en Murillo. Este hostal o pensión acepta mascotas y ofrece wifi gratis.

En el hostal o pensión, las habitaciones tienen armario y TV de pantalla plana. En Hostal Perla Del Norte, cada habitación cuenta con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno a la carta o continental.

El aeropuerto (Aeropuerto de La Nubia) está a 71 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 200 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
Casa Aventura,https://www.booking.com/hotel/co/casa-adventure.es.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9tdXJpbGxvLCB0b2xpbWFIClgEaDKIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoe-1cYGwAIB0gIkYWU2ZDgwYTctMzc3MS00NTcxLWI5M2EtNGU5MDdhYTliNWI12AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=3ce36c830aae051c&srepoch=1758813975&from=searchresults,"8,5",2 comentarios,Murillo,"Casa Aventura se encuentra en Murillo. Se ofrece wifi gratis en todo el alojamiento.

El apartamento incluye 3 dormitorios, una sala de estar y 1 baño con artículos de aseo gratuitos y ducha. Se ofrece TV de pantalla plana.

El aeropuerto (Aeropuerto de La Nubia) está a 76 km.",Restaurantes y cafeterías: Cafetería/barCasa Cafe Tolima - 100 m; RestaurantePanadería Murillo - 22 km; Cafetería/barCafetería y miscelánea - 23 km || Aeropuertos más cercanos: Aeropuerto de La Nubia - 70 km
