Nombre,Calificación,Número de Reseñas,Etiquetas
Rio Prado,"4,6",43,Represas
Hotel San Marcelino de las Rosas,"3,8",54,Alojamiento
Bellavista Isla del Sol,"3,5",2,Alojamiento
Mansion del Lago,"4,1",19,Alojamiento
Club Nautico Marineros,"3,5",4,Alojamiento
