Nombre,Calificación,Número de Reseñas,Etiquetas
Aventura Terra,N/A,0,"Aventura Terra es un parque infantil para niños hasta los 12 años, cuenta con: Muros de escalada, puentes colgantes deslizadero convencional y deslizadero con costales, laberinto en malla con balones…"
BBC Bodega Av Quinta,"3,5",2,"El sitio está bien chevere si la idea es tomar buena cerveza, picar algo pequeño de comer y charlar con tus amigos o..."
Espeletia Expedition,N/A,0,"Mas allá de hacer hacer planes o viajes a la naturaleza, te impulsamos y acompañamos a dar vida a esos sueños de llegar a la cumbre y disfrutar del camino."
Parque Ecoturístico La Plata,N/A,0,"Reserva natural y forestal ubicada en la ciudad de Ibagué, deportes extremo, senderismo, cascadas, camping, cabalgata y mucho más"
BBC Bodega Centro,N/A,0,La Candelaria
Parque Innovamente,N/A,0,Parques de diversión y temáticos
Andes Expedition,N/A,0,Abierto ahora
Estancomodos Bar,"4,5",12,"Buena Opción para ir con los amigos y disfrutar de una noche de rumba, buena música, es un lugar agradable acogen bien..."
El Tereque Bar,"4,6",9,"El lugar es amplio, musica de todo tipo, muy buen ambiente, gente linda, y personas atentas en el servicio...."
Oasis Spa Masajes Eróticos,"5,0",1,Spas
La Estacion,"4,3",8,"Muy buena música, buen ambiente, un lugar fresco y acogedor que proporciona las condiciones perfectas para una..."
Ikigai spa,"5,0",3,"Creamos rituales para maximizar el bienestar humano, hacemos parte de FR HOTEL BOUTIQUE. Tenemos rituales corporales, capilares, hidroterapias, sauna, turco y sala de relajación. Ofrecemos rituales…"
Bar Rancho Sanmiguel,"5,0",2,El mejor Bar de ibague donde disfrutarás de la mejor rumba y musica crossover con artistas en vivo los mejores shows.
Serenity Spa Campestre,"5,0",1,Abierto ahora
Librería Pérgamo Ibagué,"5,0",7,"Librería independiente en Ibagué, excelente selección de libros para niños y adultos."
Cañon del Combeima,"4,5",250,"el mejor lugar a las afueras de ibague, el clima y la comida tipica, dulces, postres y demas son increibles"
Fábrica de sonrisas - Regalos personalizados,"5,0",2,"La experiencia fábrica de sonrisas, es una tienda ubicada en el Centro comercial Acqua donde los clientes pueden personalizar y fabricar su propio regalo."
Glitter & Glam Spa De Niñas,"5,0",1,Abierto ahora
Artesanía y Tradición,N/A,0,"somos una tienda dedicada a la venta de artesanías hechas a mano de Colombia, resaltamos la cultura, costumbres y tradiciones de nuestro país plasmado en el diseño de cada artista, tenemos una surtida…"
Presidente Speakeasy,N/A,0,Bares y discotecas
MONTAÑA & ROCA,"5,0",49,"En MONTAÑA & ROCA, hacemos que tu experiencia en el Parque Nacional Natural los Nevados sea única y fascinante. Disfrutando de increíbles paisajes naturales, transporte típico, gastronomía, alojamiento…"
No Bar,N/A,0,Bares y discotecas
Ibagué Extremo,"4,9",27,"Exciting, super actividad, y excellent servicio y atencion por parte de los instructores de ibague extremo. Lo..."
AIMA,"5,0",23,Abierto ahora
Colombian Summit,"5,0",25,"Tuve la oportunidad de ir con Enrique y Cristian, y nos llevaron a recorrer valles, cañón de normandia, cañón de toche..."
Tolima Travel,"5,0",14,"Somos una agencia de viajes operadora y plataforma turística, especialista en turismo Tolimense, nos enfocamos en ofertar actividades de turismo de naturaleza, dejando también en ellas una muestra…"
Espeletia Expedition,"4,3",6,"Mas allá de hacer hacer planes o viajes a la naturaleza, te impulsamos y acompañamos a dar vida a esos sueños de llegar a la cumbre y disfrutar del camino. Somos una operadora de viajes especializada…"
Truman Adventure,"5,0",3,"Truman Adventure, es una empresa operadora de turismo de naturaleza y aventura liderada por biólogos, montañistas y fotógrafos. Con más de 25 años de experiencia en la geografía colombiana. Estamos…"
Turismo Con-ciencia,"5,0",4,"Lideramos iniciativas de turismo de naturaleza, turismo científico y de aventura de la mano con comunidades rurales de Tolima y Antioquia en condiciones de precio justo, dignidad y respeto por el …"
On Tour Tolima,"4,7",3,Colombia
