Nombre,Categoría,Dirección,Lat,Lon,Rating,Reseñas,Horarios
Grand Prix VR,Atracción turística,"Ibagué, Tolima",4.5215377,-75.6154143,4.7,602,Cerrado ⋅ Abre a las 5 a.m. del vie
Balneario el tesoro,Atracción turística,"La Martinica, Ibagué, Tolima",4.5215377,-75.6154143,4.7,602,
La Leona (parte alta) - Alto de Toche,Atracción turística,"Ibagué, Tolima",4.5215377,-75.6154143,4.7,602,
Río San Bernardo balnearios,Atracción turística,"FWXC+HG, Ibagué, Tolima",4.4989184,-75.3835957,4.7,602,
Foto Juntas,Atracción turística,"Ibagué, Tolima",4.5554915,-75.6301831,4.7,602,
ibague,Atracción turística,"Villa del Navado, km 10, Ibagué, Tolima",4.5554915,-75.6301831,4.7,602,
Finca La Comarca de Sagar,Atracción turística,"7XQ8+H8, Ibagué, Tolima",4.2888881,-75.3389993,4.7,602,
Cascadas del Secreto,Atracción turística,"7XQ8+H8, Ibagué, Tolima",4.2888881,-75.3389993,4.7,602,
Estadero doña Barbara,Atracción turística,"Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Mirador Sueño Azul ️,Atracción turística,"Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
CENTRO ASOCIATIVO Y SOLIDARIO DEL TOLIMA,Atracción turística,"Cl. 20 #5a-2 a 5a-8, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Cascada Quebrada Los Alpes,Atracción turística,"HMJP+XQ, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Letrero Ibague,Atracción turística,"Cl. 20 #1-164 1-94 a, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas
Centro Cultural Coral Ciudad Musical,Atracción turística,"Cl. 10 #6-14, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Río cristal Cemex,Atracción turística,"San Luis-Guamo, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas
Ruta norte al parque de los nevados,Atracción turística,"JM3X+F2, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Casa al revés Tolima,Atracción turística,"Llanitos, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto ⋅ Cierra a las 10 p.m. Actualizado por otros usuarios hace 3 semanas
Villa Onzaga,Atracción turística,"Unnamed Road, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Finca recreacional Don Pedroza,Atracción turística,"FVFP+FX, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Toche,Parque,"Toche, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
La Nube Eterna - Mirador,Atracción turística,"730007, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Cerrado ⋅ Abre a las 9 a.m. del jue Confirmado mediante una llamada telefónica hace 7 días
Mirador El Gallinero 🐓 (By miss xime Ibg),Atracción turística,"Ibague San Bernardo, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas
san jorge ibague,Atracción turística,"Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Alto del Boquerón Ibague,Atracción turística,"CP5C+V6, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,
Finca peñaliza,Atracción turística,"FPW8+58, Ibagué, Tolima",4.5007454,-75.6007892,4.7,602,Abierto las 24 horas
